accident_id,timestamp,lat,lng,nearest_cluster,road_type,speed_limit,lane_count,traffic_density,weather,time_of_day,hour,day_of_week,is_weekend,month,nearby_defect_count_500m,defect_severity_index,risk_score,accident_severity_code,is_high_risk
ACC-PRG-20000,2025-05-07T08:54:00,25.406645,81.813977,Kareli Urban Zone,Local Residential,30,1,Moderate,Rain,Morning Rush,8,2,0,5,3,8.0,0.3515,0,0
ACC-PRG-20001,2025-12-08T04:52:00,25.505214,81.866896,Teliyarganj / MNNIT Area,Dense Urban Street,40,1,Congested,Dense Fog / Smog,Early Hours,4,0,0,12,3,10.0,0.327,1,0
ACC-PRG-20002,2025-11-03T21:58:00,25.442902,81.837169,Rambagh Railway Station Area,Dense Urban Street,30,2,Moderate,Rain,Late Night,21,0,0,11,28,10.0,0.4303,0,0
ACC-PRG-20003,2026-02-05T02:33:00,25.424702,81.769345,Jhalwa / IIIT-A Corridor,State Highway,45,2,High,Clear,Early Hours,2,3,0,2,13,10.0,0.3342,0,0
ACC-PRG-20004,2025-02-25T22:19:00,25.37599,81.85522,Naini Industrial Area,Major Arterial,50,2,Moderate,Clear,Late Night,22,1,0,2,5,10.0,0.3288,0,0
ACC-PRG-20005,2025-07-20T23:41:00,25.425269,81.844365,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,High,Clear,Late Night,23,6,1,7,6,10.0,0.2443,0,0
ACC-PRG-20006,2026-03-14T21:53:00,25.414842,81.858862,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,Low,Clear,Late Night,21,5,1,3,15,10.0,0.388,1,0
ACC-PRG-20007,2026-06-12T20:21:00,25.505906,81.815383,Shastri Bridge (Ganga),Bridge / Flyover,30,2,High,Clear,Evening Rush,20,4,0,6,0,0.0,0.1706,0,0
ACC-PRG-20008,2025-05-02T07:25:00,25.478912,81.86028,Teliyarganj / MNNIT Area,Dense Urban Street,40,2,High,Clear,Morning Rush,7,4,0,5,2,5.0,0.2617,1,0
ACC-PRG-20009,2026-01-27T08:40:00,25.433145,81.876431,Sangam / Daraganj,Local Residential,30,1,Low,Dense Fog / Smog,Morning Rush,8,1,0,1,12,10.0,0.3884,0,0
ACC-PRG-20010,2026-06-06T07:01:00,25.422082,81.843392,Rambagh Railway Station Area,Local Residential,30,2,High,Clear,Morning Rush,7,5,1,6,4,10.0,0.3287,0,0
ACC-PRG-20011,2026-03-21T09:36:00,25.432124,81.890413,Shastri Bridge (Ganga),Bridge / Flyover,50,4,Low,Clear,Morning Rush,9,5,1,3,12,10.0,0.3439,1,0
ACC-PRG-20012,2025-01-21T12:35:00,25.436602,81.891193,Shastri Bridge (Ganga),Bridge / Flyover,50,4,Low,Dense Fog / Smog,Afternoon Off-Peak,12,1,0,1,17,10.0,0.3595,1,0
ACC-PRG-20013,2025-08-01T21:57:00,25.383554,81.869272,Naini Industrial Area,Suburban Arterial,50,2,Low,Clear,Late Night,21,4,0,8,10,10.0,0.3504,0,0
ACC-PRG-20014,2025-05-12T18:13:00,25.415894,81.82157,Kareli Urban Zone,Dense Urban Street,30,2,High,Clear,Evening Rush,18,0,0,5,16,10.0,0.3472,0,0
ACC-PRG-20015,2026-01-08T17:10:00,25.37065,81.873114,Naini Industrial Area,Suburban Arterial,50,2,Moderate,Rain,Evening Rush,17,3,0,1,1,2.25,0.3363,0,0
ACC-PRG-20016,2026-07-01T14:08:00,25.503668,81.883549,Prayagraj Junction (Civil Lines side),Suburban Arterial,50,4,Moderate,Rain,Afternoon Off-Peak,14,2,0,7,2,4.5,0.2515,1,0
ACC-PRG-20017,2026-06-07T06:44:00,25.423034,81.76798,Jhalwa / IIIT-A Corridor,Major Arterial,45,2,Low,Clear,Morning Rush,6,6,1,6,8,10.0,0.2412,0,0
ACC-PRG-20018,2025-08-09T04:38:00,25.430145,81.849003,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Moderate,Rain,Early Hours,4,5,1,8,10,10.0,0.3848,0,0
ACC-PRG-20019,2025-09-19T08:24:00,25.451431,81.731585,GT Road / Bamrauli Corridor,National Highway,65,4,Moderate,Rain,Morning Rush,8,4,0,9,8,10.0,0.4262,0,0
ACC-PRG-20020,2025-05-27T17:13:00,25.462222,81.85267,Katra / Allahabad Univ,Local Residential,30,1,High,Clear,Evening Rush,17,1,0,5,17,10.0,0.2899,0,0
ACC-PRG-20021,2026-03-06T04:20:00,25.443295,81.817399,Prayagraj Junction (Civil Lines side),Local Residential,25,2,Low,Monsoon Overcast,Early Hours,4,4,0,3,5,10.0,0.3149,0,0
ACC-PRG-20022,2026-06-29T03:43:00,25.442285,81.880129,Sangam / Daraganj,Dense Urban Street,30,2,High,Clear,Early Hours,3,0,0,6,10,10.0,0.3056,0,0
ACC-PRG-20023,2025-05-30T07:17:00,25.424849,81.811115,Kareli Urban Zone,Local Residential,30,1,Moderate,Clear,Morning Rush,7,4,0,5,5,10.0,0.3591,0,0
ACC-PRG-20024,2025-11-10T18:52:00,25.386416,81.876423,Naini Industrial Area,Major Arterial,50,4,High,Rain,Evening Rush,18,0,0,11,7,10.0,0.4184,1,0
ACC-PRG-20025,2025-02-19T05:20:00,25.472726,81.860426,Katra / Allahabad Univ,Local Residential,30,1,Moderate,Dense Fog / Smog,Early Hours,5,2,0,2,2,3.25,0.3282,0,0
ACC-PRG-20026,2025-05-11T08:00:00,25.493638,81.86126,Teliyarganj / MNNIT Area,Dense Urban Street,40,1,Low,Clear,Morning Rush,8,6,1,5,16,10.0,0.316,0,0
ACC-PRG-20027,2026-01-15T22:49:00,25.460983,81.841231,Katra / Allahabad Univ,Local Residential,30,2,Low,Clear,Late Night,22,3,0,1,21,10.0,0.2223,0,0
ACC-PRG-20028,2026-05-30T09:17:00,25.426699,81.77217,Jhalwa / IIIT-A Corridor,Suburban Arterial,45,2,Moderate,Dust Storm,Morning Rush,9,5,1,5,13,10.0,0.3443,1,0
ACC-PRG-20029,2025-11-17T02:40:00,25.453533,81.845342,Georgetown,Dense Urban Street,35,1,Low,Clear,Early Hours,2,0,0,11,30,10.0,0.2397,0,0
ACC-PRG-20030,2025-10-20T17:59:00,25.436274,81.843318,MG Marg Corridor,Major Arterial,45,4,High,Clear,Evening Rush,17,0,0,10,19,10.0,0.3169,1,0
ACC-PRG-20031,2026-06-12T21:43:00,25.420937,81.848953,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,Moderate,Dust Storm,Late Night,21,4,0,6,15,10.0,0.4652,0,0
ACC-PRG-20032,2026-07-02T23:22:00,25.459892,81.838985,Civil Lines,Dense Urban Street,40,2,Congested,Clear,Late Night,23,3,0,7,19,10.0,0.2767,0,0
ACC-PRG-20033,2025-03-18T11:53:00,25.495824,81.779779,Prayagraj Junction (Civil Lines side),Local Residential,40,1,Moderate,Clear,Afternoon Off-Peak,11,1,0,3,0,0.0,0.1397,0,0
ACC-PRG-20034,2025-04-26T10:58:00,25.503546,81.870494,Teliyarganj / MNNIT Area,Dense Urban Street,40,2,Moderate,Clear,Afternoon Off-Peak,10,5,1,4,4,10.0,0.2198,0,0
ACC-PRG-20035,2025-01-03T23:40:00,25.44753,81.849948,Georgetown,Dense Urban Street,35,2,Congested,Dense Fog / Smog,Late Night,23,4,0,1,34,10.0,0.3963,1,0
ACC-PRG-20036,2025-02-06T14:57:00,25.450154,81.814911,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Moderate,Clear,Afternoon Off-Peak,14,3,0,2,2,9.5,0.2125,0,0
ACC-PRG-20037,2025-12-29T03:00:00,25.508018,81.927894,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,Moderate,Clear,Early Hours,3,0,0,12,16,10.0,0.3251,0,0
ACC-PRG-20038,2025-03-28T16:32:00,25.452723,81.74176,GT Road / Bamrauli Corridor,National Highway,65,6,Low,Rain,Evening Rush,16,4,0,3,8,10.0,0.4442,0,0
ACC-PRG-20039,2025-09-14T07:30:00,25.412709,81.862341,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Moderate,Rain,Morning Rush,7,6,1,9,3,5.25,0.4813,2,1
ACC-PRG-20040,2026-03-26T21:53:00,25.456615,81.850715,Katra / Allahabad Univ,Dense Urban Street,30,2,High,Clear,Late Night,21,3,0,3,16,10.0,0.3042,0,0
ACC-PRG-20041,2025-10-19T01:08:00,25.509494,81.857024,Curzon Bridge / Phaphamau,Bridge / Flyover,50,4,Congested,Clear,Early Hours,1,6,1,10,17,10.0,0.379,0,0
ACC-PRG-20042,2025-09-30T03:26:00,25.312656,81.711818,Curzon Bridge / Phaphamau,National Highway,80,6,High,Rain,Early Hours,3,1,0,9,0,0.0,0.1687,0,0
ACC-PRG-20043,2026-02-14T16:46:00,25.427228,81.855509,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Low,Dense Fog / Smog,Evening Rush,16,5,1,2,7,10.0,0.4315,1,0
ACC-PRG-20044,2025-12-19T16:00:00,25.451975,81.834637,Civil Lines,Dense Urban Street,40,1,High,Dense Fog / Smog,Evening Rush,16,4,0,12,39,10.0,0.3159,0,0
ACC-PRG-20045,2025-10-24T09:31:00,25.463065,81.835189,Civil Lines,Local Residential,40,1,High,Clear,Morning Rush,9,4,0,10,6,10.0,0.2858,0,0
