id,defect_type,lat,lng,nearest_cluster,severity,status,department_id,photo_url,created_at,resolved_at,is_active
REP-PRG-10000,Pothole,25.388974,81.863894,Naini Industrial Area,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10000.jpg,2026-01-28T03:51:22,,1
REP-PRG-10001,Streetlight Defect,25.435182,81.892184,Sangam / Daraganj,Low,Reported,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10001.jpg,2026-03-02T02:23:57,,1
REP-PRG-10002,Streetlight Defect,25.450727,81.833027,Civil Lines,High,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10002.jpg,2026-04-18T16:01:33,,1
REP-PRG-10003,Streetlight Defect,25.522634,81.936139,NH-19 Bypass (Varanasi-Kanpur),High,Reported,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10003.jpg,2026-02-10T23:23:12,,1
REP-PRG-10004,Pothole,25.416244,81.82434,Kareli Urban Zone,Moderate,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10004.jpg,2026-01-27T11:22:36,,1
REP-PRG-10005,Pothole,25.488293,81.859274,Teliyarganj / MNNIT Area,High,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10005.jpg,2026-01-13T00:43:37,,1
REP-PRG-10006,Drainage Issues,25.386936,81.849694,Naini Industrial Area,Moderate,Assigned,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10006.jpg,2026-06-11T06:31:10,,1
REP-PRG-10007,Streetlight Defect,25.414201,81.765502,Jhalwa / IIIT-A Corridor,High,Reported,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10007.jpg,2026-02-28T18:32:10,,1
REP-PRG-10008,Drainage Issues,25.421897,81.882514,Sangam / Daraganj,High,AI Verified,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10008.jpg,2026-04-28T07:08:40,,1
REP-PRG-10009,Pothole,25.420736,81.758702,Jhalwa / IIIT-A Corridor,Moderate,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10009.jpg,2026-06-30T07:35:39,,1
REP-PRG-10010,Streetlight Defect,25.441725,81.878194,Sangam / Daraganj,Low,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10010.jpg,2026-02-12T00:49:49,,1
REP-PRG-10011,Pothole,25.49254,81.851602,Teliyarganj / MNNIT Area,Critical,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10011.jpg,2026-02-26T19:48:24,,1
REP-PRG-10012,Pothole,25.444645,81.838887,MG Marg Corridor,Low,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10012.jpg,2026-03-10T10:24:35,,1
REP-PRG-10013,Drainage Issues,25.502792,81.861006,Curzon Bridge / Phaphamau,Moderate,Assigned,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10013.jpg,2026-02-25T07:51:49,,1
REP-PRG-10014,Pothole,25.434695,81.845666,Rambagh Railway Station Area,Critical,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10014.jpg,2026-03-09T13:05:01,,1
REP-PRG-10015,Garbage Accumulation,25.520186,81.879818,Phaphamau NH-19 Junction,Moderate,Assigned,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10015.jpg,2026-04-21T05:14:44,,1
REP-PRG-10016,Pothole,25.491892,81.854538,Teliyarganj / MNNIT Area,Critical,Reported,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10016.jpg,2026-05-07T11:18:35,,1
REP-PRG-10017,Drainage Issues,25.45558,81.828233,MG Marg Corridor,Low,AI Verified,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10017.jpg,2026-06-24T23:22:13,,1
REP-PRG-10018,Pothole,25.431671,81.864323,Sangam / Daraganj,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10018.jpg,2026-03-07T04:08:32,,1
REP-PRG-10019,Garbage Accumulation,25.441975,81.836475,Civil Lines,Low,In Progress,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10019.jpg,2026-03-11T07:20:12,,1
REP-PRG-10020,Pothole,25.425908,81.821371,Kareli Urban Zone,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10020.jpg,2026-03-10T02:13:32,,1
REP-PRG-10021,Streetlight Defect,25.438075,81.887591,Shastri Bridge (Ganga),Low,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10021.jpg,2026-06-14T02:29:00,,1
REP-PRG-10022,Pothole,25.500172,81.852241,Curzon Bridge / Phaphamau,High,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10022.jpg,2026-05-16T08:01:14,,1
REP-PRG-10023,Streetlight Defect,25.416315,81.828457,Kareli Urban Zone,Low,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10023.jpg,2026-03-20T16:43:05,,1
REP-PRG-10024,Pothole,25.451749,81.823896,MG Marg Corridor,Moderate,Reported,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10024.jpg,2026-05-05T10:31:11,,1
REP-PRG-10025,Pothole,25.420593,81.851919,Naini Old Bridge (Yamuna),Moderate,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10025.jpg,2026-03-10T03:12:43,,1
REP-PRG-10026,Drainage Issues,25.444585,81.744893,GT Road / Bamrauli Corridor,Critical,In Progress,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10026.jpg,2026-06-26T15:19:25,,1
REP-PRG-10027,Pothole,25.453248,81.86645,Georgetown,High,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10027.jpg,2026-05-14T00:26:17,,1
REP-PRG-10028,Pothole,25.378286,81.862526,Naini Industrial Area,Low,Reported,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10028.jpg,2026-05-22T16:22:41,,1
REP-PRG-10029,Pothole,25.52765,81.872804,Phaphamau NH-19 Junction,High,Reported,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10029.jpg,2026-01-18T09:08:37,,1
REP-PRG-10030,Pothole,25.416167,81.818515,Kareli Urban Zone,Moderate,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10030.jpg,2026-02-25T03:37:58,,1
REP-PRG-10031,Garbage Accumulation,25.409149,81.84543,Naini Old Bridge (Yamuna),Critical,Assigned,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10031.jpg,2026-03-05T01:13:13,,1
REP-PRG-10032,Pothole,25.4565,81.75085,GT Road / Bamrauli Corridor,Low,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10032.jpg,2026-04-19T22:58:03,,1
REP-PRG-10033,Drainage Issues,25.509424,81.938028,NH-19 Bypass (Varanasi-Kanpur),Low,Assigned,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10033.jpg,2026-06-15T11:34:59,,1
REP-PRG-10034,Pothole,25.451893,81.832839,MG Marg Corridor,Moderate,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10034.jpg,2026-03-05T14:58:32,,1
REP-PRG-10035,Streetlight Defect,25.514891,81.870304,Curzon Bridge / Phaphamau,Low,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10035.jpg,2026-04-29T17:05:42,,1
REP-PRG-10036,Streetlight Defect,25.429713,81.892517,Sangam / Daraganj,High,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10036.jpg,2026-01-14T07:44:37,,1
REP-PRG-10037,Drainage Issues,25.431642,81.841475,Civil Lines,Critical,In Progress,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10037.jpg,2026-02-12T22:47:49,,1
